wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
380.0,0.114639,0.857264,0.108676,0.861056,0.120561,0.847236,0.198076,0.768834
382.0,0.112136,0.859374,0.106322,0.863066,0.118544,0.848957,0.196806,0.769854
384.0,0.109704,0.861410,0.104047,0.864991,0.116607,0.850589,0.195597,0.770801
386.0,0.107341,0.863374,0.101847,0.866833,0.114746,0.852136,0.194444,0.771677
388.0,0.105046,0.865267,0.099723,0.868595,0.112958,0.853600,0.193345,0.772487
390.0,0.102818,0.867089,0.097670,0.870279,0.111241,0.854986,0.192298,0.773233
392.0,0.100655,0.868842,0.095687,0.871887,0.109592,0.856295,0.191300,0.773919
394.0,0.098558,0.870527,0.093773,0.873422,0.108009,0.857530,0.190348,0.774548
396.0,0.096524,0.872146,0.091926,0.874885,0.106489,0.858695,0.189441,0.775122
398.0,0.094551,0.873699,0.090143,0.876277,0.105031,0.859791,0.188576,0.775644
400.0,0.092640,0.875189,0.088423,0.877602,0.103632,0.860821,0.187751,0.776116
402.0,0.090789,0.876615,0.086765,0.878861,0.102290,0.861787,0.186964,0.776540
404.0,0.088997,0.877979,0.085167,0.880055,0.101003,0.862691,0.186215,0.776918
406.0,0.087262,0.879283,0.083627,0.881185,0.099770,0.863535,0.185501,0.777252
408.0,0.085583,0.880527,0.082143,0.882255,0.098590,0.864320,0.184821,0.777543
410.0,0.083960,0.881712,0.080716,0.883264,0.097460,0.865049,0.184174,0.777794
412.0,0.082390,0.882840,0.079343,0.884215,0.096380,0.865723,0.183558,0.778004
414.0,0.080875,0.883912,0.078023,0.885108,0.095347,0.866344,0.182974,0.778177
416.0,0.079411,0.884929,0.076755,0.885946,0.094361,0.866912,0.182419,0.778312
418.0,0.077999,0.885891,0.075538,0.886728,0.093422,0.867429,0.181893,0.778411
420.0,0.076637,0.886800,0.074370,0.887457,0.092526,0.867897,0.181395,0.778474
422.0,0.075324,0.887656,0.073252,0.888133,0.091675,0.868315,0.180925,0.778503
424.0,0.074060,0.888461,0.072181,0.888757,0.090867,0.868686,0.180482,0.778498
426.0,0.072844,0.889215,0.071157,0.889331,0.090100,0.869010,0.180065,0.778460
