wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
380.0,0.112299,0.839853,0.103155,0.846099,0.126116,0.820654,0.235335,0.710037
382.0,0.108266,0.843479,0.100110,0.848866,0.124189,0.822413,0.234134,0.711120
384.0,0.104511,0.846833,0.097351,0.851345,0.122499,0.823928,0.233039,0.712086
386.0,0.101031,0.849918,0.094870,0.853547,0.121031,0.825215,0.232040,0.712946
388.0,0.097823,0.852738,0.092657,0.855482,0.119773,0.826285,0.231127,0.713711
390.0,0.094880,0.855296,0.090701,0.857158,0.118712,0.827151,0.230291,0.714388
392.0,0.092199,0.857598,0.088992,0.858587,0.117837,0.827825,0.229524,0.714989
394.0,0.089772,0.859651,0.087520,0.859778,0.117135,0.828321,0.228816,0.715521
396.0,0.087593,0.861459,0.086274,0.860743,0.116593,0.828648,0.228159,0.715992
398.0,0.085655,0.863032,0.085242,0.861492,0.116202,0.828820,0.227547,0.716410
400.0,0.083949,0.864375,0.084414,0.862036,0.115948,0.828846,0.226972,0.716782
402.0,0.082468,0.865498,0.083779,0.862385,0.115822,0.828738,0.226427,0.717114
404.0,0.081202,0.866407,0.083325,0.862550,0.115812,0.828506,0.225905,0.717412
406.0,0.080144,0.867112,0.083042,0.862542,0.115908,0.828160,0.225400,0.717683
408.0,0.079283,0.867622,0.082918,0.862372,0.116100,0.827710,0.224906,0.717932
410.0,0.078610,0.867944,0.082943,0.862049,0.116379,0.827165,0.224419,0.718164
412.0,0.078117,0.868088,0.083106,0.861584,0.116735,0.826534,0.223931,0.718383
414.0,0.077793,0.868064,0.083396,0.860987,0.117159,0.825825,0.223440,0.718595
416.0,0.077628,0.867880,0.083804,0.860268,0.117642,0.825047,0.222938,0.718803
418.0,0.077614,0.867545,0.084319,0.859436,0.118176,0.824208,0.222424,0.719011
420.0,0.077740,0.867068,0.084932,0.858501,0.118753,0.823316,0.221891,0.719223
422.0,0.077998,0.866458,0.085632,0.857471,0.119365,0.822377,0.221336,0.719442
424.0,0.078377,0.865725,0.086410,0.856355,0.120004,0.821399,0.220755,0.719671
426.0,0.078868,0.864876,0.087258,0.855162,0.120664,0.820387,0.220145,0.719912
428.0,0.079462,0.863921,0.088166,0.853900,0.121337,0.819349,0.219503,0.720169
430.0,0.080150,0.862868,0.089127,0.852577,0.122018,0.818291,0.218825,0.720444
432.0,0.080923,0.861724,0.090131,0.851200,0.122698,0.817217,0.218109,0.720738
434.0,0.081772,0.860499,0.091171,0.849778,0.123374,0.816134,0.217353,0.721054
436.0,0.082690,0.859200,0.092239,0.848316,0.124038,0.815047,0.216553,0.721393
438.0,0.083667,0.857834,0.093328,0.846822,0.124686,0.813959,0.215708,0.721756
440.0,0.084695,0.856409,0.094431,0.845302,0.125312,0.812877,0.214816,0.722145
442.0,0.085767,0.854932,0.095540,0.843762,0.125912,0.811804,0.213875,0.722560
444.0,0.086876,0.853411,0.096650,0.842209,0.126480,0.810743,0.212883,0.723002
446.0,0.088012,0.851851,0.097754,0.840647,0.127012,0.809700,0.211841,0.723472
448.0,0.089171,0.850259,0.098845,0.839083,0.127505,0.808677,0.210745,0.723970
