wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
380.0,0.741666,0.258334,0.994259,0.005741,0.997059,0.002941,0.810697,0.189303
382.0,0.190281,0.809719,0.987985,0.012015,0.984352,0.015648,0.836457,0.163543
384.0,0.305248,0.694752,0.996048,0.003952,0.996118,0.003882,0.862044,0.137956
386.0,0.812216,0.187784,0.998849,0.001151,0.998302,0.001698,0.463961,0.536039
388.0,0.933088,0.066912,0.998877,0.001123,0.997759,0.002241,0.524568,0.475432
390.0,0.970891,0.029109,0.997177,0.002823,0.991232,0.008768,0.412856,0.587144
392.0,0.993957,0.006043,0.997840,0.002160,0.772840,0.227160,0.536891,0.463109
394.0,0.996191,0.003809,0.998930,0.001070,0.948646,0.051354,0.340247,0.659753
396.0,0.991791,0.008209,0.998342,0.001658,0.951483,0.048517,0.328265,0.671735
398.0,0.996884,0.003116,0.992008,0.007992,0.766089,0.233911,0.229472,0.770528
400.0,0.999101,0.000899,0.997730,0.002270,0.744489,0.255511,0.336114,0.663886
402.0,0.999258,0.000742,0.998930,0.001070,0.576612,0.423388,0.344064,0.655936
404.0,0.998467,0.001533,0.998643,0.001357,0.288764,0.711236,0.125559,0.874441
406.0,0.997481,0.002519,0.995705,0.004295,0.168386,0.831614,0.281155,0.718845
408.0,0.998937,0.001063,0.939677,0.060323,0.331629,0.668371,0.374136,0.625864
410.0,0.999013,0.000987,0.958625,0.041375,0.318166,0.681834,0.235591,0.764409
412.0,0.997494,0.002506,0.970925,0.029075,0.320947,0.679053,0.148435,0.851565
414.0,0.995291,0.004709,0.911797,0.088203,0.263838,0.736162,0.181191,0.818809
416.0,0.998458,0.001542,0.504180,0.495820,0.201049,0.798951,0.242033,0.757967
418.0,0.998804,0.001196,0.205168,0.794832,0.342075,0.657925,0.356601,0.643399
420.0,0.997967,0.002033,0.209709,0.790291,0.291182,0.708818,0.299210,0.700790
422.0,0.991705,0.008295,0.270096,0.729904,0.086254,0.913746,0.143608,0.856392
424.0,0.944038,0.055962,0.304693,0.695307,0.181158,0.818842,0.380626,0.619374
426.0,0.972268,0.027732,0.210938,0.789062,0.256108,0.743892,0.499843,0.500157
428.0,0.966001,0.033999,0.327461,0.672539,0.141101,0.858899,0.515373,0.484627
430.0,0.885033,0.114967,0.309401,0.690599,0.087015,0.912985,0.451794,0.548206
432.0,0.336065,0.663935,0.145827,0.854173,0.124749,0.875251,0.358724,0.641276
434.0,0.087355,0.912645,0.250254,0.749746,0.105944,0.894056,0.433549,0.566451
436.0,0.175292,0.824708,0.344259,0.655741,0.237284,0.762716,0.656680,0.343320
438.0,0.444572,0.555428,0.186440,0.813560,0.372061,0.627939,0.769483,0.230517
440.0,0.392125,0.607875,0.080243,0.919757,0.315518,0.684482,0.802682,0.197318
442.0,0.133057,0.866943,0.229984,0.770016,0.106842,0.893158,0.793371,0.206629
444.0,0.281801,0.718199,0.220679,0.779321,0.163463,0.836537,0.751005,0.248995
446.0,0.342250,0.657750,0.073170,0.926830,0.357474,0.642526,0.687965,0.312035
448.0,0.154442,0.845558,0.081220,0.918780,0.379612,0.620388,0.633499,0.366501
450.0,0.179102,0.820898,0.135026,0.864974,0.267785,0.732215,0.608449,0.391551
452.0,0.326246,0.673754,0.081829,0.918171,0.141015,0.858985,0.581634,0.418366
454.0,0.238624,0.761376,0.159977,0.840023,0.126438,0.873562,0.532716,0.467284
456.0,0.069687,0.930313,0.339177,0.660823,0.261706,0.738294,0.568588,0.431412
458.0,0.194411,0.805589,0.365302,0.634698,0.509704,0.490296,0.573743,0.426257
460.0,0.278190,0.721810,0.208283,0.791717,0.667224,0.332776,0.507451,0.492549
462.0,0.160024,0.839976,0.053518,0.946482,0.727014,0.272986,0.395587,0.604413
464.0,0.047043,0.952957,0.173617,0.826383,0.719649,0.280351,0.255490,0.744510
466.0,0.133191,0.866809,0.271614,0.728386,0.653841,0.346159,0.206103,0.793897
468.0,0.153622,0.846378,0.217891,0.782109,0.541520,0.458480,0.217257,0.782743
470.0,0.077109,0.922891,0.099967,0.900033,0.434173,0.565827,0.163390,0.836610
472.0,0.162893,0.837107,0.059476,0.940524,0.359581,0.640419,0.193966,0.806034
474.0,0.329863,0.670137,0.054356,0.945644,0.278689,0.721311,0.337398,0.662602
476.0,0.354258,0.645742,0.079306,0.920694,0.268047,0.731953,0.408717,0.591283
478.0,0.214159,0.785841,0.275234,0.724766,0.360064,0.639936,0.387899,0.612101
480.0,0.054580,0.945420,0.491480,0.508520,0.413603,0.586397,0.261867,0.738133
482.0,0.112634,0.887366,0.591864,0.408136,0.374589,0.625411,0.159092,0.840908
484.0,0.197682,0.802318,0.589654,0.410346,0.240459,0.759541,0.255369,0.744631
486.0,0.161898,0.838102,0.500315,0.499685,0.107685,0.892315,0.292967,0.707033
488.0,0.077870,0.922130,0.355204,0.644796,0.136146,0.863854,0.234144,0.765856
490.0,0.080502,0.919498,0.248001,0.751999,0.192094,0.807906,0.162107,0.837893
492.0,0.111717,0.888283,0.194561,0.805439,0.168866,0.831134,0.223650,0.776350
494.0,0.072517,0.927483,0.124499,0.875501,0.133209,0.866791,0.287990,0.712010
496.0,0.054373,0.945627,0.086599,0.913401,0.204371,0.795629,0.244493,0.755507
498.0,0.201851,0.798149,0.171155,0.828845,0.311350,0.688650,0.113924,0.886076
500.0,0.371586,0.628414,0.276758,0.723242,0.345153,0.654847,0.324158,0.675842
502.0,0.435731,0.564269,0.295812,0.704188,0.273615,0.726385,0.507766,0.492234
504.0,0.390552,0.609448,0.212769,0.787231,0.127031,0.872969,0.616974,0.383026
